Sample,Clean reads,Clean bases,Clean reads(%),Clean bases(%)
9-84,5595586,703678892,99.96,83.8
9F,5857478,870985796,99.96,99.09
9-125,8089754,1206159176,99.96,99.36
9M,8906350,1323602958,99.96,99.03
9-144,9420748,1399411396,99.96,98.99
9-116,8704644,1284050442,99.96,98.3
9-51,9871380,1471826326,99.96,99.36
16-5,9105688,1342883406,99.96,98.28
9-113,8581336,1277030688,99.96,99.17
9-65,7930826,1181506378,99.96,99.28
9-154,8985420,1338895930,99.96,99.3
9-20,9035744,1347196774,99.96,99.36
9-123,9688658,1436979812,99.96,98.84
9-26,8278576,1232350110,99.96,99.2
9-115,9612426,1422831586,99.96,98.64
9-143,9556230,1424679684,99.96,99.35
9-21,9893210,1471884432,99.96,99.14
9-108,9145140,1358082744,99.96,98.96
9-55,14492458,2160128472,99.96,99.33
9-56,8586358,1274580980,99.96,98.92
9-111,8992154,1335841328,99.96,99.0
9-124,9186958,1365132480,99.96,99.02
9-86,17364154,2572325890,99.96,98.72
9-16,17236386,2563998180,99.96,99.13
16-21,7235668,1067368084,99.96,98.3
9-3,9294746,1384052620,99.96,99.23
9-6,9472342,1408377666,99.96,99.08
16-33,8452816,1247899638,99.96,98.38
16-120,7872722,1162185908,99.96,98.37
9-5,9724226,1442234558,99.96,98.84
16M,8829624,1311839486,99.96,99.01
16-146,13019452,1907542908,99.96,97.64
16-122,8490048,1196946566,99.96,93.95
16F,9721572,1441327304,99.96,98.8
16-93,11885642,1500986928,99.96,84.16
16-161,7875652,1171847828,99.96,99.16
16-182,9047560,1338837130,99.96,98.61
16-25,11987664,1777930342,99.96,98.84
16-119,8655876,1281629414,99.96,98.67
16-183,8934082,1327107624,99.96,98.99
16-176,8865584,1310798340,99.96,98.53
16-88,7006988,1033949008,99.96,98.33
16-201,9419512,1399986924,99.96,99.05
16-95,7008070,1030427064,99.96,97.98
16-200,8180494,1210867440,99.96,98.64
